name,foods,score,kind
简单又好吃的黄焖鸡,冰糖、鸡肉、料酒、姜、蒜、生抽、老抽、蚝油、黄豆酱、香菇、土豆、盐,7.8,家常菜
㊙️香菇土豆肉沫拌饭❗️比外卖还好吃,猪肉沫、香菇、大土豆、青红椒、葱花、姜末,8.1,家常菜
开胃下饭菜！巨简单的家常鱼香茄子煲,茄子、肉沫、小葱、姜、蒜、小米辣、郫县豆瓣酱、老抽、生抽、陈醋、耗油、糖、淀粉、清水,7.9,家常菜
肉末嫩豆腐｜嫩滑口感爽口！这道快手菜超级下饭！！（减脂少油版）,嫩豆腐、肉末、（浸泡）干香菇、小米辣、葱花、水淀粉、海天酱油、盐、食用油,8.0,家常菜
香煎老豆腐,豆腐、生抽、蚝油、鸡蛋、白糖,8.3,家常菜
比肉还好吃的【手撕凉拌杏鲍菇】，上桌扫光光,杏鲍菇、小米椒、香葱、蒜头、香菜、辣椒面、芝麻、蚝油、生抽、香油、辣椒油、糖、盐、食用油,8.2,家常菜
小美·香菇炒毛豆,毛豆去皮、香菇切丁、生抽、老抽、蒜、油、红尖椒切丁、蚝油、冰糖、淀粉,0,家常菜
白菜的无敌好吃做法,白菜、粉条、五花肉、姜、蒜、十三香、盐、生抽、料酒、香菜,8.4,家常菜
干锅土豆片,土豆、尖椒、五花肉、郫县豆瓣酱、干红辣椒、花椒、生抽、白糖、鸡粉、葱、蒜、食用油、蚝油,8.0,家常菜
糖醋里脊超嫩鸡胸肉版,鸡胸肉、淀粉、蒜、白胡椒、盐、鲜味酱油、糖,8.0,家常菜
香到嗷嗷叫｜宇宙超级无敌香锅鸡翅虾,虾、鸡翅中、藕、莴笋、土豆、年糕条、洋葱、海底捞麻辣香锅底料、大葱、干辣椒、大蒜、香菜、花椒、香叶、白芝麻、盐（腌鸡翅）、淀粉、食用油、生抽,8.3,家常菜
一口一个超过瘾的珍珠丸子,糯米（最好过夜泡好）、肉馅、葱花、鸡蛋、蚝油、生抽、香油、十三香、糖、淀粉,8.5,家常菜
农家小炒肉,青椒、五花肉、姜、蒜、豆瓣酱,7.8,家常菜
红烧狮子头四喜丸子,猪肉、鸡蛋、料酒、生抽、盐、糖、淀粉、蚝油、葱、姜、老抽、胡萝卜、莲藕、大葱、小葱、鲜香菇、豆腐、八角,8.3,家常菜
椒盐虾（超酥香）,虾（若干）、椒盐、葱、生姜、料酒、淀粉，大蒜,8.1,家常菜
第500道菜--香菜牛肉,牛肉、大蒜、干辣椒、生抽、蚝油、料酒、盐、香菜、香油,1,家常菜
家庭版的手撕鸡,鸡腿、姜片、葱段、盐、糖、生抽、香醋、小米辣、蒜蓉、柠檬、鸡精、香菜、熟芝麻、香油,7.8,家常菜
【小高姐】盐酥鸡它的酥我真的是不知道该怎么形容了,盐酥鸡、带皮鸡腿肉、生抽、豆腐乳、五香粉、番薯粉（粗）、九层塔、食用油、白胡椒粉、盐,9.0,家常菜
鱼香肉丝,瘦肉、黑木耳、胡萝卜、靑椒、豆瓣酱、白糖、醋、酱油、料酒、盐、水淀粉、清水、葱姜蒜末,8.3,家常菜
厨师长教你：“毛血旺”的家常做法，味道很棒先收藏起来,鸭血、鲜毛肚、猪黄喉、鳝鱼、火腿肠、大蒜、生姜、小米辣、干辣椒、牛油火锅底料、干辣椒、凤尾、黄豆芽、植物油、青花椒、蒜蓉末、菜籽油、刀口辣椒面、白芝麻、芹菜叶、食用盐、白糖、料酒、豆瓣酱、胡椒粉、味精,9.0,家常菜
宫保鸡丁,鸡胸肉、黄瓜、花生、花椒、辣椒、料酒、生抽、淀粉、香油、鸡蛋清、白糖、蒜、郫县豆瓣酱、醋、姜、蜂蜜、葱花、耗油,7.8,家常菜
“挑战100道家常菜”—荤素海鲜都有，不重样～,家常菜居多,1,家常菜
鲜掉眉毛口蘑汤,口蘑、葱、盐、适用油,8.0,家常菜
肉末豆腐蒸蛋,肉末、鸡蛋、嫩豆腐、生抽、盐、料酒、蚝油、老抽、白糖、十三香,8.1,家常菜
［酱爆桃仁鸡丁］天津传统家常菜，你知道吗？（董姐美食）,鸡大胸、白胡椒粉、料酒、盐、蛋液（全蛋）、干淀粉、核桃仁、水、油、甜面酱、赤藓糖醇（或糖）、生抽、香油、熟芝麻,0,家常菜
㊙️自制花甲粉丝煲比外卖还好吃,花甲、粉丝（我用龙口粉丝）、蒜末、火锅底料、豆瓣酱（郫县豆瓣酱效果好）、陈醋，糖，麻油、耗油和生抽、水、小米辣，香菜、金针菇,8.5,家常菜
蜜汁叉烧，国粹烧烤家里做,猪颈肉、===腌料===、叉烧酱、生抽、鱼露、清水、===糖胶===、水、砂糖、麦芽糖,8.9,家常菜
『家庭版炒合菜』,鸡蛋、韭菜、红薯粉丝、绿豆芽or黄豆芽、生抽、老抽、蚝油、盐、糖、鸡精、小米椒、蒜,7.7,家常菜
极简少油地三鲜,茄子、土豆、青椒、蒜、葱、生抽、糖、陈醋、蚝油、水、淀粉,8.6,家常菜
秋葵（全营养做法）,秋葵、油、葱、蒜、辣椒末、生抽、蚝油、盐、香油、白砂糖、醋,8.2,家常菜
电饭锅焖鸡腿（懒人快手菜）,鸡腿、洋葱、小葱、姜、水、腌料：、老抽、生抽、料酒、糖、芝麻香油、盐、胡椒粉,8.5,家常菜
5分钟快手菜❗️秒杀路边摊爆炒花甲～好吃到爆,花甲、青红辣椒、葱花,8.3,家常菜
脆皮虾,虾、淀粉、面粉、泡打粉、色拉油、葱、生姜、盐、味精、料酒,9.3,家常菜
超下饭的日式番茄滑蛋,鸡蛋、番茄、番茄酱、蒜、淀粉、盐、糖,0,家常菜
厨师长教你：“葱香鲫鱼”的家常做法，味道鲜美，先收藏起来,小鲫鱼、大蒜、生姜、仔姜、二荆条、小米辣、小葱、酸菜、熟菜籽油、水淀粉、食用盐、料酒、味精、白糖、生抽酱油、老抽,9.4,家常菜
清蒸鲈鱼,鲈鱼、大葱、姜、蒸鱼豉油、料酒,8.2,家常菜
健康低脂凉拌菜—菠菜可以这样吃,菠菜、鸡蛋、花生、香油、盐、蒜、蚝油、白芝麻,7.7,家常菜
水煮肉片【向往的生活】简单零失败,肉片、葱蒜、豆瓣酱、盐、白菜（或者包菜）、豆芽、辣椒面、葱花、香菜,8.2,家常菜
浙江名菜&蒜爆目鱼花,目鱼、大蒜、盐、味精、淀粉,9.4,家常菜
超下饭的蒜苔炒肉末,蒜苔、肉末、生抽、料酒、淀粉、老抽、盐、蒜、蚝油、小米椒、干辣椒、姜、老干妈,8.5,家常菜
巨开胃‼️酸辣凉拌面‼️劲道爽滑，10分钟搞定，简单快手‼,黄瓜、香菜、生抽、面条、芝麻、糖、辣椒酱、蒜末、小米辣、米醋、花生米、辣椒粉,8.5,家常菜
蒜香排骨,排骨、蒜、生抽、老抽、油、姜、冰糖、盐、水、白芝麻,8.4,家常菜
夏日必备消暑凉瓜牛肉,牛肉、苦瓜、淀粉、蒜、糖、生抽、盐,0,家常菜
超级好吃的家常豆腐,豆腐、蒜、葱花、盐、鸡蛋、淀粉、小米辣、生抽、耗油、饮用水,7.9,家常菜
家庭版小酥肉,花椒、鸡蛋、糖、盐、料酒、猪肉、红薯淀粉、五香粉、酱油,8.3,家常菜
家常葱油制作（绝味葱油面）超详细,食用油、葱、生抽、老抽（红烧酱油）、耗油、芝麻、糖,8.6,家常菜
台式三杯鸡,鸡大腿、胡麻油、九层塔、老抽、金兰酱油膏、冰糖、姜、蒜、红标米酒、小米辣,7.9,家常菜
火山土豆泥,土豆、混合蔬菜粒、肉末、水发香菇、姜蒜末、黑胡椒粉、盐、糖、生抽、老抽、蚝油、水淀粉,8.1,家常菜
夏日菠萝两吃-菠萝炒苦瓜、菠萝茶,菠萝、苦瓜、蚝油、蒜、广东米酒、太白粉,0,家常菜
最简单的红烧排骨【你肯定会！！！】,排骨、鸡蛋、生抽、白糖、黄酒、姜片、香叶、桂皮,8.3,家常菜
香煎豆腐（好吃到姥姥家）,豆腐（不是盒装）、鸡蛋、蒜瓣、生抽、蚝油、白糖、葱、胡椒粉、小米椒、清水,8.2,家常菜
邻居抢着来我家吃土豆香肠炒饭，原来这么香！,米饭、鸡蛋、香肠、土豆、生抽、老抽、蚝油、白糖,8.1,家常菜
吃一块想两块不油不腻红烧肉,五花肉、姜片、葱段、香叶、八角、花椒、干辣椒、肉桂、本酿造酱油、红烧酱油、盐、料酒,8.3,家常菜
菠萝咕咾肉（少油版）,梅花肉、菠萝、鸡蛋、甜椒、白胡椒粉、盐、生抽、淀粉、五香粉、料酒、小苏打、面粉、生姜粉、油、糖醋汁用量⬇️、蕃茄酱、白醋、淀粉、白糖、水,8.3,家常菜
手撕包菜,包菜、大蒜、蚝油、生抽、干辣椒、鸡精、糖、醋、盐、花椒,0,家常菜
快速剥葡萄皮方法（吃得卫生.安全.健康）,大粒葡萄、冰水、热水,2,家常菜
鲜到起飞的菌菇汤！不好喝不要钱！,平菇、杏鲍菇、香菇、口蘑、褐菇、茶树菇、海鲜菇、金针菇、虫草花、姜、枸杞、茶籽油、盐、温水,8.3,家常菜
烤猪蹄,干辣椒、八角、姜、豆蔻、丁香、香叶、桂皮、陈皮、芫荽籽、小茴香、花椒、整粒白胡椒、植物油、冰糖、香醋、料酒、生抽、蚝油、盐、清水、葱、猪蹄、葱花、辣椒面、孜然粉、韩式辣酱、蜂蜜,8.9,家常菜
白菜时蔬卷,胡萝卜、木棉豆腐、蘑菇、大白菜、酱油、水、老干妈、糖、盐,13,家常菜
肉段烧茄子！东北菜的精髓：黢黑、稀neng、胶黏、齁咸、好吃,茄子、尖椒、淀粉、酱油、料酒、盐、糖、生抽、蚝油、鸡精、蒜、十三香、清水、葱、猪肉、蛋清,8.6,家常菜
凉拌茄子这样做，堪称米饭杀手,茄子、小米椒、蒜、生抽、醋、小葱、白糖、辣椒油、盐、花椒、食用油,8.0,家常菜
五香炖排骨,八角、花椒、盐、姜、香叶、葱、料酒、酱油、豆瓣酱、素鸡、排骨、大蒜,0,家常菜
凉拌酸辣土豆丝,土豆、胡萝卜、蒜末、辣椒面、醋、生抽、糖、盐、香菜、花生、食用油,7.7,家常菜
四喜丸子（红烧狮子头）,五花肉末、马蹄或胡萝卜、香菇、杏鲍菇、葱姜末、腌料：、盐、白胡椒粉、生抽（腌制）、老抽（腌制）、料酒（腌制）、鸡蛋、玉米淀粉（腌制）、玉米淀粉（裹粉）、红烧部分：、料酒、生抽、盐、花椒、八角、桂皮、月桂叶、葱结、水、糖、水淀粉勾芡,8.3,家常菜
鲜美豆腐汤的简单做法,鸡蛋、嫩豆腐、海鲜菇、盐、蚝油、生抽、蒜、葱花,7.4,家常菜
油泼通菜（空心菜）,空心菜、蒜末、盐、六婆辣椒面、食用油、蚝油、醋,8.2,家常菜
招牌口水鸡🐤（肉质是你想像不到的嫩🍗）,琵琶腿、姜、香醋、生抽、料酒、辣椒油、芝麻油、花椒、蒜、糖、盐、鸡精、小米椒、香葱、香菜、白芝麻、香辣酱、花椒油,8.3,家常菜
外婆教我的红烧鸡翅·连汤汁都狠好吃！！！,鸡翅中、冰糖、料酒、蚝油、生抽、老抽、葱姜蒜、辣椒,8.2,家常菜
咸鲜可口的青红椒炒鸡丁,鸡胸、青红椒、姜葱蒜、料酒、淀粉、生抽、老抽、蚝油、盐糖,8.4,家常菜
鲍鱼焖鸡,鲍鱼、鸡、姜葱、红酒、盐、蚝油、生抽、白糖、湖南辣椒青红辣椒、花椒、豆瓣酱,0,家常菜
外卖第一名，简单在家做|黄焖鸡米饭,鸡腿、干香菇、青椒、土豆、料酒、冰糖、蚝油、生抽、老抽、鸡精、香叶、白胡椒粉、糖、五香粉、姜粉、姜、干辣椒/剁椒、蒜,8.4,家常菜
比肉还好吃的手撕杏鲍菇,杏鲍菇、青椒、胡萝卜、蚝油、酱油、独头蒜、细砂糖、食用油、鸡精,7.6,家常菜
清爽不油腻的荷塘小炒,藕、荷兰豆、小木耳、胡萝卜、山药、百合、鸡精、盐、糖、水淀粉,7.8,家常菜
年夜菜必备❗️全家都爱的孔雀开屏清蒸鳊鱼🐟,鳊鱼、大葱、小葱、生姜、小米椒、线椒、盐、料酒、蒸鱼豉油、蚝油、糖、鸡精,8.3,家常菜
酱油鸡（豉油鸡），新手也能驾驭自如,鸡、葱结、姜、八角、花椒、酱油、冰糖、耗油、盐、水、料酒,8.8,家常菜
简单又好吃的蒸蛋,鸡蛋、味极鲜、食用油、葱花、蒸鱼豉油、橄榄油或芝麻油,7.9,家常菜
快手脆皮鸡腿,鸡大腿、盐、孜然辣椒,8.6,家常菜
蒜蓉蒸鲍鱼,鲍鱼、蒜、粉丝、蚝油、盐、老抽、小米椒、味极鲜或者蒸鱼豉油,0,家常菜
超简单的蜜汁叉烧（空气炸锅版）,猪颈肉、梅头肉、李锦记叉烧酱、蜂蜜、随便什么老抽,8.4,家常菜
榨菜鲜肉锅盔（发面、死面通用）,【面】、中筋面粉、水、酵母、油、【馅料】、牛肉（猪肉都可以）、乌江榨菜（粒装的，不太咸，味道好！）、葱、姜、老抽、生抽、料酒、白胡椒粉、糖、盐、十三香（或者花椒面）、鸡精,8.2,家常菜
减肥餐，好喝不胖，鲜到眉毛掉的冬瓜蘑菇汤！,冬瓜、鸡蛋、鲜虾、海鲜菇,8.2,家常菜
不要太好吃的反沙芋头和反沙番薯,芋头（去皮）、红薯（去皮）、油、白砂糖、水,8.5,家常菜
🔥日式照烧茄盒（不用油炸❗少油多汁❗）,长茄子、肉末、a酱油、a料酒、a姜、a大葱、a胡椒粉、a淀粉、调味汁、b淡口酱油、b料酒、b味啉（附有制法）、b白糖、b凉水、面粉、油（煎制用）、小葱,7.7,家常菜
家庭版小辣条,豆卷、辣椒面、白芝麻、白砂糖、孜然粉、盐、鸡精、洋葱、葱、姜、蒜、花椒、八角、香菜,8.6,家常菜
熬猪油～雪白不腥、出油量大糕点起酥油,猪板油/猪肥肉、清水、姜,8.7,家常菜
毛血旺-家庭素菜版,午餐肉、鸭血、蒜、黄豆芽、火锅底料、盐、郫县豆瓣酱、姜、葱、豆皮、小白菜、料酒、鸡粉、白糖、金针菇、生抽、蚝油、白芝麻、芝麻油,7,家常菜
满屋飘香的酱脊骨,猪脊骨、料酒、香叶、八角、花椒、桂皮、姜、香葱、大酱（黄酱，黄豆酱）、老抽、生抽、蚝油、冰糖、盐、鸡精、干辣椒、陈皮,8.7,家常菜
吮指全味虾球,小龙虾、蒜、姜、蚝油、全味汁、料酒、花椒、辣椒、香叶、八角、啤酒、盐、热干面,8.9,家常菜
简单快速剥生栗子,板栗、盐、水,8.8,家常菜
肉末蒸蛋羹：厨房小白都可以蒸出好吃的鸡蛋羹哟,鸡蛋、温水、盐,8.5,家常菜
1分钟自制低脂饮品——减肥也要好好的喝,猕猴桃、西柚、西瓜、黑枸杞、气泡水、雪碧、低糖养乐多,8.4,家常菜
油焖大虾,对虾、姜、蒜、香葱、白糖、生抽、料酒、盐,8.6,家常菜
粉丝蒸金针菇,粉丝、金针菇、蚝油、蒜、葱、生抽、盐,7,家常菜
㊙️连汤都想喝掉的‼️酸汤牛肉馅饺子‼️酸辣开胃,牛肉、饺子皮、葱姜水、姜末大葱末、十三香、生抽、蚝油、盐、鸡蛋、香油、料酒、花椒粉、葱花、鸡精、辣椒油、白胡椒粉、白芝蔴、香油、生抽、香醋、白糖、虾皮、紫菜、香菜、盐（根据个人口味）,8.7,家常菜
不炒糖色超简单的糖醋排骨,排骨、葱、姜、料酒、醋、生抽、老抽、冰糖、白芝麻,8.7,家常菜
（无敌详细）做了四十年闽南咸饭的奶奶的秘方,大米（这里推荐泰国香米哦）、干香菇、肥瘦1:1刚好的五花肉、胡萝卜、葱花、酱油（生抽）、料酒、盐、鸡精,8.3,家常菜
炖牛腩（零基础版）,牛腩、火锅底料、姜、大葱、香菜、白糖、生抽,0,家常菜
超级嫩鸡蛋包豆腐,鸡蛋（蛋黄也可）、嫩豆腐、淀粉、生抽、蚝油、蕃茄酱、鸡精、清水、白砂糖、小葱,7.9,家常菜
鲜到让人起飞的菠菜汤,豆腐、菠菜、葱花、盐、蚝油、五花肉,8.2,家常菜
【超超超美味的油面筋酿肉|一吃就彻底爱上了，强烈要求你们一定要试试！！】,油面筋、五花肉、生姜、大蒜、五香粉、香菇、盐、味极鲜,8.3,家常菜
啫啫鱼煲,鱼（或鸡肉）、大蒜、姜、葱、葱花、生抽、蚝油、料酒、糖、盐、白胡椒粉、淀粉、食用油,8.7,家常菜
超上瘾的麻酱流汁宽粉,宽粉、调制汁配料、葱蒜沫、芝麻、花生碎、麻酱、水、油、耗油、生抽、香醋、白糖,8.6,家常菜
巨美味的椒盐小酥肉❗秒杀火锅店，外酥里嫩❗,里脊肉、鸡蛋、玉米淀粉、普通面粉、水、椒盐➕辣椒面➕白芝麻,8.3,家常菜
0失败香酥杏鲍菇,杏鲍菇、鸡蛋、面粉、淀粉、盐、鸡精、十三香、清水、油,8.1,家常菜
简单几步就能做出正宗酱牛肉（附卤蛋的做法）,牛腱子、料酒、姜、葱、生抽/酱油、甜面酱、豆腐乳、盐、八角、桂皮、香叶、小茴香、花椒、洋葱、草果,8.5,家常菜
洋葱焖鸡腿,鸡腿（大）、洋葱、大蒜、食用油、生抽、老抽、料酒、蚝油、盐、白糖、清水,0,家常菜
茄子烧,圆茄子、葱、辣椒、姜、盐、生抽、老抽、蚝油、鸡精、油、水,0,家常菜
香辣烤鱼——西门子CS289ABS0W家用嵌入式蒸烤一体机,草鱼一条、藕、土豆、洋葱、菌菇（可以选择自己喜欢的）、姜葱蒜、豆瓣酱、花椒、干辣椒段、生抽、老抽、糖、米醋、料酒、胡椒粉、盐,9.0,家常菜
地三鲜,茄子、土豆、青椒、盐、水淀粉、生抽、老抽、耗油、糖、葱、蒜,6,家常菜
吃不够的蒜香鸡腿,鸡腿肉、蒜末、盐、生抽、干辣椒、青椒、玉米淀粉,8.2,家常菜
麻婆豆腐,花椒末、豆腐、郫县豆瓣、肉沫、花椒粒、辣椒粉、胡椒末、水淀粉、小葱,7.7,家常菜
鸡肉炖土豆,土豆、鸡腿（鸡翅也可以）、桂皮、八角、辣椒、料酒、生抽、老抽、白砂糖、盐、姜片,8.7,家常菜
金针菇日本豆腐煲制作方法方便又好吃下饭菜全家喜欢做法简单,日本豆腐、金针菇、蒜、葱、蚝油、酱油、淀粉、生抽,2,家常菜
浓郁【番茄菜花】（无番茄酱，更健康）,西红柿、花菜、盐、糖、生抽、葱花、蒜片,8.6,家常菜
家常肉末茄子,猪肉、茄子、湖南椒、生姜、大葱叶、黄豆酱、油、盐、酱油、料酒,0,家常菜
阿婆手撕包菜,圆白菜、干红椒、五花肉、大蒜、生姜、盐、蚝油、生抽、花椒油,7.9,家常菜
虾仁西葫芦瘦身圈,西葫芦、虾、鸡蛋、盐、料酒、胡椒粉、红椒,8.4,家常菜
相对低脂的红烧肉,五花肉、鹌鹑蛋、小块冰糖、干辣椒、葱、八角、花椒、草蔻、生姜、蒜、料酒、生抽、老抽、醋、盐,8.2,家常菜
【小高姐】烧茄子简单方法做出好颜色和好味道的茄子,茄子、盐、蒜、配菜、水淀粉、豆瓣酱、醋、盐、食用油,8.4,家常菜
三步搞定最爱的干锅牛蛙,牛蛙、盐料酒胡椒粉淀粉、土豆莴笋藕、葱姜蒜干胡椒花椒、生抽糖料酒、豆瓣辣酱/火锅底料、香菜芝麻,8.5,家常菜
自制超正宗的酸梅汤，酸甜解腻～！,同仁堂酸梅汤配料（内含乌梅50g山楂70g甘草4g陈皮10g）、冰糖、乌枣、豆蔻、桂花,0,家常菜
给肉都不换的糖醋豆腐‼️外脆里嫩，巨下饭‼️,豆腐、淀粉、葱花、糖、醋、番茄酱、生抽、盐、鸡蛋、蚝油、老抽、蒜末,8.2,家常菜
虎皮凤爪,大鸡爪、麦芽糖、桂皮、香叶、葱姜蒜干辣椒、盐、生抽、老抽、蚝油、香菜,8.3,家常菜
【温馨煮艺】丝瓜虾蛤米粉,丝瓜、去头白虾、蛤肉、米粉、香葱、生姜、大蒜、猪骨汤、胡椒粉、食盐,0,家常菜
酸汤肥牛,肥牛、金针菇、蒜、酸汤调料包、干辣椒,0,家常菜
家常肉沫粉条（蚂蚁上树）,红薯粉、青尖椒、精瘦猪肉、香菜、葱姜蒜、黄豆酱、食用油、水、盐、味精、老抽,8.3,家常菜
跟妈妈偷学的芋儿鸡，老公说可以去开店了,鸡腿、芋头、蒜、姜、葱段、青红椒、花椒、干辣椒、八角、郫县豆瓣、生抽、老抽、糖、盐,8.4,家常菜
一夹就断的黄豆焖猪蹄,猪手、黄豆、冰糖、料酒、老抽、盐、桂皮、干辣椒、八角、姜、香叶、花椒、酱油、蚝油,8.2,家常菜
咖喱鸡肉饭（新手也能一次成功）,鸡腿肉、土豆、米饭、洋葱、胡萝卜、好侍百梦多咖喱微辣、生抽、料酒、青豆、玉米、香菇（可选）,8.3,家常菜
㊙️低卡低脂低热量销魂番茄魔芋鲜虾汤，越喝越瘦‼️,魔芋丝、鲜虾、西兰花、胡萝卜、鸡蛋、花生油（玉米油）、料酒、白胡椒粉、盐、太太乐原味鲜、芝麻油,8.5,家常菜
【烤箱版】蒜蓉茄子，惊艳家人的味蕾,茄子、食用油、孜然粉、蒜、黑胡椒粉、辣椒粉、生抽、蚝油、白糖、小葱、小米椒,8.2,家常菜
素炒什锦菜（炒合菜）,绿豆芽、韭菜、鸡蛋、包菜、木耳、粉丝、大葱、盐、生抽、蚝油、老抽、十三香、鸡精,8.0,家常菜
2分钟就能做好的《凉拌拍青瓜》,青瓜、辅料：蒜头/小米辣/香菜、调料：陈醋/酱油/香油/辣椒油,7.7,家常菜
芹菜炒鸡蛋,鸡蛋、芹菜、盐,0,家常菜
鸡蛋炒米粉，正确泡发干米粉，不碎、不坨、不粘锅、口感Q弹,米粉、花生油（炟米粉）、盐（炟米粉）、鸡蛋、绿豆芽、小葱、花生油、生抽,8.4,家常菜
西芹木耳,西芹、木耳、酱油、盐,8.1,家常菜
就是这个味儿！上海熏鱼（爆鱼）,草鱼、姜段+葱片、冰糖、蚝油、料酒、生抽、醋、蜂蜜、老抽、水、八角、香叶、花椒粒、桂皮,8.4,家常菜
小白的自制凉皮(水洗版),水、盐、高筋面粉,8.2,家常菜
西葫芦炒蛋,西葫芦、鸡蛋、葱花、生抽、耗油、盐,14,家常菜
超受欢迎的五香酱牛肉,牛腱、姜、香葱、八角、花椒、桂皮、香叶、小茴香、白芷、干山楂、甘草（没有可不放）、干辣椒、料酒、生抽、白糖、老抽、黄豆酱、蚝油、鸡精,8.3,家常菜
小炒牛肉（肉嫩味香）,牛肉、蒜、淀粉、胡椒粉、生抽、盐、老抽、小米辣、蚝油、啤酒、中红辣椒、芹菜,7.6,家常菜
柠檬鸡爪超简单,鸡爪、柠檬、香菜、大蒜、八角、小米辣、生抽、糖、盐,8.2,家常菜
菠萝虾球,菠萝、明虾、番茄酱、糖、淀粉,8.3,家常菜
始于颜值，终于味蕾——杏鲍菇牛肉粒它来啦！,杏鲍菇、牛肉、彩椒、洋葱,0,家常菜
凉拌（腐竹木耳黄瓜）,腐竹、木耳、黄瓜、蒜末、辣椒面、熟芝麻、葱花、辣椒油、生抽、香醋、糖、盐、香油、香菜、熟花生米,7.9,家常菜
不焯水不放油的家常红烧肉,带皮五花肉、冰糖、姜片、八角、香叶、干辣椒、黄酒、老抽、生抽、开水,8.7,家常菜
爆炒猪肝家庭做法,猪肝、胡萝卜、尖椒、洋葱、姜、淀粉、生抽、老抽、蚝油、陈醋、糖、盐、食用油,3,家常菜
家常红烧日本豆腐～超级下饭菜！🎊,日本豆腐、青椒、胡萝卜、面粉、大葱、蒜、油、生抽、蚝油、盐,7.9,家常菜
干锅土豆片,土豆、干辣椒、洋葱、芹菜、胡萝卜、郫县豆瓣酱、蒜、生抽、白糖、孜然、鸡精、姜、花椒、蚝油,0,家常菜
炸香椿（香椿芽最好吃的做法）,香椿、鸡蛋、面粉、盐、水（调面糊用）、生抽,8.8,家常菜
椒麻避风塘鸡翅,葱伴侣6月香豆瓣酱、葱伴侣椒麻黄豆酱、鸡翅、黑胡椒粉、料酒、蛋黄、淀粉、面包糠、青红小米椒、食用油,8.6,家常菜
蒸水蛋,鸡蛋、盐、酱油、油、温水、葱花,8.0,家常菜
四川回锅肉,郫县红油豆瓣酱、猪肉、青蒜、青椒、红椒、姜片、料酒、生抽,8.1,家常菜
香甜土豆松,土豆、白糖、红椒,8.0,家常菜
超好吃的开胃蒜茄子,茄子、大蒜、红辣椒、生抽、醋、糖、盐、花生油,8.4,家常菜
酱油鸡,鸡、姜、酱油、水、糖,8.1,家常菜
自制奶茶（爱喝这一杯的，不用去奶茶店了）,牛奶、红茶包、龟苓膏,7.7,家常菜
卤牛腱子,卤料包、牛腱子、酱油、干辣椒,0,家常菜
『荷塘小炒』清炒荷兰豆白玉菇木耳胡萝卜,荷兰豆、白玉菇、木耳、胡萝卜,8,家常菜
番茄豆腐浓汤,西红柿、嫩豆腐、小葱、娃娃菜、空心菜、盐、香油、水淀粉,0,家常菜
非常简单美味的家常菜～干煸四季豆,四季豆、干辣椒、盐、鸡精、生抽、蚝油、蒜、姜,10,家常菜
可乐鸡翅,鸡翅、干红辣椒、可乐、老抽,8.1,家常菜
韩式泡菜豆腐锅/辣白菜豆腐汤,豆腐、泡菜、猪油、瘦肉、金针菇、西葫芦、洋葱、大葱、姜、蒜、生抽、糖、韩国辣酱、韩国粗辣椒粉,8.5,家常菜
孩子能吃两碗饭的一道菜,鲍鱼、老鸡、五花肉、花胶、姜、蒜、大葱、胡椒粒、盐、冰糖、生抽老抽、鸡粉,3,家常菜
锅包肉,里脊、香菜、胡萝卜、姜、葱、蒜、淀粉、糖、盐、白醋、醋精、酱油、油、胡萝卜,2,家常菜
